title,price,description,image_url
Gold Kundan Earring Pearl String Pendant Necklace Set,1500,"Your search for the perfect rani haar ends here. Features a long necklace made of a statement kundan pendant and pearl beaded strings, and kundan earrings. ",https://img.faballey.com/images/Product/ZNS00008/d3.jpg
Green Bead Kundan Earring Necklace Set,1750,Add a dash of color to your evening look with this green beaded kundan set. Features a necklace crafted of two strings of green beads and kundan drops along with matching earrings ,https://img.faballey.com/images/Product/ZNS00043/d3.jpg
Gold Orb Kundan Double Pearl Earrings Necklace Set,1750,"For all those who shy away from statement pieces, this set is the perfect pick. Features a kundan studded choker with white pearls on either side, and stud earrings",https://img.faballey.com/images/Product/ZNS00051/d3.jpg
Gold Kundan Tukdi Earring Necklace Set,2500,"Old world charm meets modern elegance with this set. Features a gold plated white kundan set with crescent motifs and white enamel detailing, topped with white drop pearls. ",https://img.faballey.com/images/Product/ZNS00007/d3.jpg
Gold Kundan Blue Bead Earring Necklace Set,1750,This statement kundan and blue bead set is what dream treasure troves are made of. Features a double blue bead string necklace with kundan drops and matching earring ,https://img.faballey.com/images/Product/ZNS00041/d3.jpg
White Blue Diamond Earring Pendant Necklace Set,2625,Elevate your cocktail look with a glamourous dose of bling with this white and blue diamond set. Features a white diamond necklace with a statement blue focal stone. ,https://img.faballey.com/images/Product/ZNS00011/d3.jpg
Gold Kundan Red Drop Meena Earring Necklace Set,2250,A classic and delicate piece like this red beaded kundan set is a must-have in every jewellery collection. Features a necklace crafted from kundan stones and red beads ,https://img.faballey.com/images/Product/ZNS00054/d3.jpg
Green Enamal Kundan Petal Earring Necklace Set,1750,"Eclectic and enchanting, this piece is on top of our wishlist. Features petal shaped kundan with green and red enamel accentuated with green stones.",https://img.faballey.com/images/Product/ZNS00024/d3.jpg
Gold Kundan Pearl Drop Earring Necklace Set,1750,"Accentuated with pearl drops and red meenakari work, this kundan set is a festive must-have. Features a kundan studded neckpiece and earrings ",https://img.faballey.com/images/Product/ZNS00040/d3.jpg
Silver Oxidized Green Stone Star Earring Necklace Set,1750,"Eclectic and bold, this silver and green bead earring necklace set is a winner of an accessory to pair with any and every outfit. Features a distinctive star design necklace with green stone and matching dangler earrings. ",https://img.faballey.com/images/Product/ZNS00021/d3.jpg
Gold Round Kundan Pearl Earring Necklace Set,1750,Amp up your festive season glam with this delectable kundan set. Featuring a string of kundan along with pearl drops running along the length of the necklace with pearl and kundan stud earrings ,https://img.faballey.com/images/Product/ZNS00035/d3.jpg
Gold Kundan Green Drop Double Orb Earring Necklace Set,2250,"Glam up this festive season with this stunning, double layered kundan set. Features a double layered kundan necklace with green drop beads and matching earrings ",https://img.faballey.com/images/Product/ZNS00038/d3.jpg
Rose Gold Plated Crystal Necklace Set,2450,Give your festive look a magnificent feel with this rose gold plated necklace set. Crafted in a square shape and encrusted with CZ diamonds this necklace set is one of a kind piece to have and cherish. ,https://img.faballey.com/images/Product/ZNS00064/d3.jpg
Dual Gold Kundan Green Bead Earring Necklace Set,1750,Give your festive look a sparkling finish with this classic kundan and green bead set. Features a necklace crafted from layers of kundan stones accentuated with delicate green bead clusters. ,https://img.faballey.com/images/Product/ZNS00055/d3.jpg
Dual Toned Oxidized Triangular Earrings Necklace Set,1900,"This dual toned triangular statement oxidised set will instantly elevate your look. Featuring a distinctive triangular drop design necklace with hints of blue on a gold and silver form along with stud earrings, this set will pull your look together in a jiffy. ",https://img.faballey.com/images/Product/ZNS00020/d3.jpg
Gold Kundan Single Orb Earring Necklace Set,2900,"Minimal, classy and evergreen, this kundan set features a sleek single kundan studded string and matching drop earrings ",https://img.faballey.com/images/Product/ZNS00010/d3.jpg
